casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
Cashwin,Asian Handicap,Asian Handicap -1/+1,home,1321404650,5.0,0.2,0.1883116883116883,0.2027365,-0.014424811688311695,0.01368249999999982
Cashwin,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.16,0.8620689655172414,0.8116883116883117,0.7972634999999999,0.014424811688311778,-0.07517434000000023
bet365,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.65,0.2150537634408602,0.20240137221269294,0.203072,-0.0006706277873070599,-0.055715199999999854
bet365,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.18,0.8474576271186441,0.7975986277873071,0.796928,0.0006706277873070876,-0.05962496000000017
1xBet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.48,0.2232142857142857,0.2126537785588752,0.2027365,0.009917278558875225,-0.09174048000000001
1xBet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.21,0.8264462809917356,0.7873462214411248,0.7972634999999999,-0.009917278558875142,-0.0353111650000002
Megapari,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.48,0.2232142857142857,0.2126537785588752,0.2027365,0.009917278558875225,-0.09174048000000001
Megapari,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.21,0.8264462809917356,0.7873462214411248,0.7972634999999999,-0.009917278558875142,-0.0353111650000002
LeoVegas Sport,Asian Handicap,Asian Handicap -1/+1,home,1321404650,5.1,0.19607843137254904,0.1853035143769968,0.2027365,-0.01743298562300319,0.03395614999999985
LeoVegas Sport,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.16,0.8620689655172414,0.8146964856230031,0.7972634999999999,0.017432985623003217,-0.07517434000000023
Campobet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.5,0.2222222222222222,0.20212765957446804,0.203072,-0.0009443404255319587,-0.08617599999999992
Campobet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.14,0.8771929824561404,0.7978723404255319,0.796928,0.000944340425531931,-0.09150208000000015
1Bet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.67,0.21413276231263384,0.20307167235494883,0.202401,0.0006706723549488314,-0.05478733000000002
1Bet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.19,0.8403361344537815,0.7969283276450513,0.797599,-0.0006706723549486648,-0.05085719000000011
Unibet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,5.1,0.19607843137254904,0.1853035143769968,0.2027365,-0.01743298562300319,0.03395614999999985
Unibet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.16,0.8620689655172414,0.8146964856230031,0.7972634999999999,0.017432985623003217,-0.07517434000000023
Goldenbet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.63,0.2159827213822894,0.2030981067125645,0.2027365,0.0003616067125645217,-0.061330005000000076
Goldenbet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.18,0.8474576271186441,0.7969018932874354,0.7972634999999999,-0.0003616067125644662,-0.05922907000000022
Freshbet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.63,0.2159827213822894,0.2030981067125645,0.2027365,0.0003616067125645217,-0.061330005000000076
Freshbet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.18,0.8474576271186441,0.7969018932874354,0.7972634999999999,-0.0003616067125644662,-0.05922907000000022
Mystake,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.63,0.2159827213822894,0.2030981067125645,0.2027365,0.0003616067125645217,-0.061330005000000076
Mystake,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.18,0.8474576271186441,0.7969018932874354,0.7972634999999999,-0.0003616067125644662,-0.05922907000000022
Vbet Sport,Asian Handicap,Asian Handicap -1/+1,home,1321404650,5.1,0.19607843137254904,0.1853035143769968,0.2027365,-0.01743298562300319,0.03395614999999985
Vbet Sport,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.16,0.8620689655172414,0.8146964856230031,0.7972634999999999,0.017432985623003217,-0.07517434000000023
22Bet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.42,0.29239766081871343,0.2769556025369979,0.273319,0.003636602536997935,-0.06524901999999999
22Bet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.31,0.7633587786259541,0.7230443974630022,0.726681,-0.003636602536997824,-0.04804788999999987
Powbet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.5,0.2857142857142857,0.27083333333333337,0.273319,-0.0024856666666666083,-0.04338350000000002
Powbet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.3,0.7692307692307692,0.7291666666666667,0.726681,0.0024856666666667193,-0.05531469999999994
Jackbit,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.39,0.2949852507374631,0.27872340425531916,0.273319,0.005404404255319184,-0.07344859000000004
Jackbit,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.31,0.7633587786259541,0.7212765957446808,0.726681,-0.005404404255319184,-0.04804788999999987
Fezbet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.5,0.2857142857142857,0.27083333333333337,0.273319,-0.0024856666666666083,-0.04338350000000002
Fezbet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.3,0.7692307692307692,0.7291666666666667,0.726681,0.0024856666666667193,-0.05531469999999994
Cashwin,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.5,0.2857142857142857,0.27083333333333337,0.273319,-0.0024856666666666083,-0.04338350000000002
Cashwin,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.3,0.7692307692307692,0.7291666666666667,0.726681,0.0024856666666667193,-0.05531469999999994
Betibet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.72,0.26881720430107525,0.256,0.27350149999999995,-0.017501499999999948,0.01742557999999983
Betibet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.28,0.78125,0.744,0.7264984999999999,0.01750150000000006,-0.07008192000000013
bet365,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.45,0.2898550724637681,0.2736842105263158,0.27218299999999995,0.0015012105263158548,-0.06096865000000018
bet365,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.3,0.7692307692307692,0.7263157894736842,0.7278169999999999,-0.0015012105263156883,-0.053837899999999994
1xBet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.45,0.2898550724637681,0.2767295597484277,0.27218299999999995,0.00454655974842777,-0.06096865000000018
1xBet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.32,0.7575757575757576,0.7232704402515724,0.7278169999999999,-0.004546559748427548,-0.03928156000000005
BetVictor,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.35,0.29850746268656714,0.2733188720173536,0.273319,-1.2798264636959544e-07,-0.08438135000000002
BetVictor,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.26,0.7936507936507936,0.7266811279826465,0.726681,1.2798264648061775e-07,-0.08438193999999988
TonyBet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.55,0.28169014084507044,0.27104722792607805,0.273319,-0.0022717720739219294,-0.029717550000000093
TonyBet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.32,0.7575757575757576,0.728952772073922,0.726681,0.0022717720739219294,-0.040781079999999914
Parimatch,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.35,0.29850746268656714,0.2733188720173536,0.273319,-1.2798264636959544e-07,-0.08438135000000002
Parimatch,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.26,0.7936507936507936,0.7266811279826465,0.726681,1.2798264648061775e-07,-0.08438193999999988
N1Bet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.5,0.2857142857142857,0.2647058823529412,0.27350149999999995,-0.008795617647058773,-0.04274475000000011
N1Bet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.26,0.7936507936507936,0.7352941176470589,0.7264984999999999,0.00879561764705894,-0.08461189000000002
20Bet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.55,0.28169014084507044,0.27104722792607805,0.273319,-0.0022717720739219294,-0.029717550000000093
20Bet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.32,0.7575757575757576,0.728952772073922,0.726681,0.0022717720739219294,-0.040781079999999914
Megapari,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.42,0.29239766081871343,0.2769556025369979,0.273319,0.003636602536997935,-0.06524901999999999
Megapari,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.31,0.7633587786259541,0.7230443974630022,0.726681,-0.003636602536997824,-0.04804788999999987
LeoVegas Sport,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.6,0.2777777777777778,0.26229508196721313,0.273319,-0.01102391803278685,-0.016051600000000166
LeoVegas Sport,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.28,0.78125,0.7377049180327869,0.726681,0.011023918032786906,-0.06984831999999996
Campobet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.25,0.3076923076923077,0.2777777777777778,0.27218299999999995,0.005594777777777837,-0.11540525000000024
Campobet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.25,0.8,0.7222222222222222,0.7278169999999999,-0.005594777777777726,-0.09022875000000008
1Bet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.47,0.2881844380403458,0.2755741127348643,0.27218299999999995,0.0033911127348643655,-0.05552499000000022
1Bet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.32,0.7575757575757576,0.7244258872651357,0.7278169999999999,-0.0033911127348642545,-0.03928156000000005
Unibet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.6,0.2777777777777778,0.26229508196721313,0.273319,-0.01102391803278685,-0.016051600000000166
Unibet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.28,0.78125,0.7377049180327869,0.726681,0.011023918032786906,-0.06984831999999996
Goldenbet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.39,0.2949852507374631,0.27872340425531916,0.273319,0.005404404255319184,-0.07344859000000004
