config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+h2h+tabla,2,resultado,212,-2.945569879389945,0.4858490566037736,0.5141509433962265,-0.02830188679245288
base+elo+h2h+tabla,2,mas_2_5,212,-1.3367625446830476,0.6037735849056604,0.6556603773584906,-0.05188679245283023
base+elo+h2h+tabla,2,ambos_marcan,212,-1.8509226811958512,0.5424528301886793,0.5849056603773585,-0.04245283018867918
base+elo+h2h+tabla,2,mas_9_5_corners,212,-0.9731755083734842,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+h2h+tabla,2,mas_4_5_tarjetas,201,-1.596163747379341,0.6517412935323383,0.6467661691542289,0.00497512437810943
base+elo+h2h+boxscore,2,resultado,212,-3.2152059436881197,0.4716981132075472,0.5141509433962265,-0.04245283018867929
base+elo+h2h+boxscore,2,mas_2_5,212,-1.4112240520062584,0.5943396226415094,0.6556603773584906,-0.061320754716981174
base+elo+h2h+boxscore,2,ambos_marcan,212,-2.2446725816325808,0.5141509433962265,0.5849056603773585,-0.070754716981132
base+elo+h2h+boxscore,2,mas_9_5_corners,212,-1.4517851684241878,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+h2h+boxscore,2,mas_4_5_tarjetas,201,-1.9638376002640527,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+h2h+arbitro,2,resultado,212,-3.0944480901783327,0.4669811320754717,0.5141509433962265,-0.04716981132075476
base+elo+h2h+arbitro,2,mas_2_5,212,-1.0130526582503283,0.589622641509434,0.6556603773584906,-0.06603773584905659
base+elo+h2h+arbitro,2,ambos_marcan,212,-1.6316403577829661,0.5660377358490566,0.5849056603773585,-0.018867924528301883
base+elo+h2h+arbitro,2,mas_9_5_corners,212,-1.3061319958976672,0.5518867924528302,0.5849056603773585,-0.03301886792452824
base+elo+h2h+arbitro,2,mas_4_5_tarjetas,201,-1.545434437090394,0.6915422885572139,0.6467661691542289,0.04477611940298498
base+elo+h2h+clima,2,resultado,199,-2.8023799462018593,0.47738693467336685,0.5125628140703518,-0.03517587939698491
base+elo+h2h+clima,2,mas_2_5,199,-0.7976634447632656,0.5979899497487438,0.6432160804020101,-0.045226130653266305
base+elo+h2h+clima,2,ambos_marcan,199,-2.230967778845358,0.5728643216080402,0.592964824120603,-0.02010050251256279
base+elo+h2h+clima,2,mas_9_5_corners,199,-1.4341825769661674,0.542713567839196,0.5829145728643216,-0.04020100502512558
base+elo+h2h+clima,2,mas_4_5_tarjetas,192,-1.248884164681591,0.6875,0.6458333333333334,0.04166666666666663
base+elo+h2h+rotacion,2,resultado,212,-2.8442026671634415,0.4481132075471698,0.5141509433962265,-0.06603773584905664
base+elo+h2h+rotacion,2,mas_2_5,212,-1.0929561717619876,0.5849056603773585,0.6556603773584906,-0.07075471698113212
base+elo+h2h+rotacion,2,ambos_marcan,212,-2.3178186485979886,0.5188679245283019,0.5849056603773585,-0.06603773584905659
base+elo+h2h+rotacion,2,mas_9_5_corners,212,-1.24715755733295,0.5471698113207547,0.5849056603773585,-0.037735849056603765
