y,pm,liga,28,28 + impacto xG,28 + impacto goles,28 + impacto xG y goles,28 + lesiones
0,0.44533333333333336,Segunda,0.40149793,0.3565425,0.41447267,0.37935406,0.39212283
0,0.4414893617021276,Segunda,0.4892417,0.460625,0.48351496,0.43873072,0.49817458
1,0.4146981627296588,Segunda,0.5502643,0.5031461,0.54175365,0.5081297,0.5442783
1,0.38071065989847713,Segunda,0.38443646,0.39033484,0.3646036,0.35422975,0.39141375
1,0.40519480519480516,Segunda,0.40235615,0.40219426,0.39971188,0.40119314,0.4212175
0,0.38618925831202044,Segunda,0.4558455,0.41657227,0.42508906,0.40373915,0.45253
0,0.3979328165374677,Segunda,0.43638,0.43079624,0.42547026,0.41853508,0.43454257
1,0.5837696335078534,Segunda,0.68709934,0.63713694,0.6676085,0.6328225,0.6698233
0,0.40992167101827676,Segunda,0.48997098,0.4438878,0.47358617,0.43895453,0.4832797
1,0.6538461538461539,Bundesliga,0.6300645,0.60929024,0.6232789,0.62401,0.6251828
1,0.48118279569892475,Segunda,0.44641495,0.39710107,0.42998657,0.38334614,0.5440661
1,0.6397058823529411,Ligue 1,0.67825276,0.6821209,0.67269474,0.6613954,0.6713551
1,0.43229166666666663,La Liga,0.46457142,0.45969352,0.4833641,0.4732729,0.44857258
1,0.5552631578947369,Premier League,0.6318612,0.5772226,0.6262702,0.5869818,0.6268749
0,0.34382566585956414,La Liga,0.38723832,0.34254906,0.35967022,0.33340096,0.3837717
0,0.4244791666666667,Serie A,0.31329268,0.30607113,0.31043816,0.3041589,0.3093728
1,0.526595744680851,Bundesliga,0.56925094,0.5688395,0.572548,0.56520766,0.5737521
1,0.5917312661498708,Bundesliga,0.64721453,0.6293646,0.61233395,0.6092221,0.64014757
1,0.5053191489361702,Bundesliga,0.39327735,0.38211647,0.38236016,0.36922473,0.37297484
0,0.5755208333333334,Bundesliga,0.58351,0.56373733,0.6009251,0.5770372,0.5799116
0,0.6311881188118812,Bundesliga,0.5393644,0.52430534,0.6090415,0.6102419,0.5331393
0,0.47340425531914887,Premier League,0.48211637,0.48931044,0.49949875,0.48429054,0.49309164
0,0.4511873350923483,Premier League,0.42381173,0.41994017,0.42741886,0.41970912,0.4160874
0,0.5396825396825397,Premier League,0.50550264,0.46491122,0.51489675,0.4699185,0.5016922
1,0.5616797900262467,Premier League,0.50122726,0.45726174,0.52284306,0.47369847,0.50457096
0,0.4656084656084655,Premier League,0.5272981,0.5330576,0.54376996,0.546003,0.5161878
1,0.5411140583554377,La Liga,0.6004459,0.5866238,0.5452901,0.54246104,0.57376283
1,0.39230769230769225,Segunda,0.41881818,0.38747916,0.44168028,0.40379795,0.43020564
0,0.37626262626262624,Segunda,0.4814644,0.42224273,0.4723536,0.4384579,0.47062975
0,0.5053191489361702,Ligue 1,0.5055278,0.5167509,0.5396991,0.53260165,0.50803703
1,0.42558746736292424,Serie A,0.60890186,0.57015014,0.595851,0.561201,0.59225994
0,0.42297650130548303,La Liga,0.4185894,0.3714997,0.44634748,0.42659464,0.40524787
0,0.35308641975308636,Segunda,0.53022236,0.48318443,0.5134051,0.47673073,0.545204
1,0.5343915343915343,Premier League,0.5872625,0.55299586,0.630846,0.59749025,0.5795866
1,0.779816513761468,Bundesliga,0.67280114,0.63460314,0.6908191,0.6524256,0.65773225
1,0.4035989717223651,Serie A,0.4752373,0.44359773,0.47620797,0.44942006,0.47758317
1,0.5538057742782152,Premier League,0.5369544,0.531274,0.5491145,0.52842546,0.5357232
0,0.5514511873350924,La Liga,0.46883574,0.4205703,0.49747,0.46177906,0.45267233
1,0.5027027027027027,Segunda,0.5195768,0.4613296,0.4940815,0.44657803,0.50804216
1,0.6161616161616161,Ligue 1,0.6108179,0.5596668,0.58446306,0.5290688,0.6042511
0,0.47074468085106375,Serie A,0.5075882,0.4697105,0.5299937,0.49606806,0.5076469
1,0.4878706199460916,Segunda,0.5042471,0.4983902,0.5145488,0.51450247,0.50036216
